epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,35641.8,1.33259,1.3152,1.2984,0.91646,0.73035,0.81598,0.50002,1.29084,1.14966,1.37637,0.005842,0.005842,0.005842
44,37771.7,1.32431,1.31026,1.29101,0.91594,0.73252,0.81765,0.50013,1.29059,1.14438,1.37611,0.005743,0.005743,0.005743
45,39870.8,1.32505,1.31604,1.28612,0.91412,0.73432,0.81826,0.50088,1.29031,1.14107,1.37462,0.005644,0.005644,0.005644
46,41963.3,1.30944,1.28718,1.27686,0.92021,0.73175,0.8184,0.50129,1.29042,1.13436,1.3753,0.005545,0.005545,0.005545
47,44230.3,1.32214,1.29973,1.28266,0.923,0.72927,0.81892,0.50186,1.2927,1.12898,1.37654,0.005446,0.005446,0.005446
48,46292,1.31631,1.26554,1.27959,0.9279,0.72891,0.82158,0.50279,1.29163,1.12341,1.37579,0.005347,0.005347,0.005347
49,48377,1.31108,1.28833,1.28222,0.92037,0.73331,0.82236,0.50299,1.28952,1.11829,1.37514,0.005248,0.005248,0.005248
50,50461.3,1.30656,1.31079,1.27814,0.9217,0.7318,0.82307,0.5047,1.28785,1.11377,1.37431,0.005149,0.005149,0.005149
51,52564.7,1.3045,1.28773,1.2796,0.92542,0.73359,0.82558,0.50533,1.28727,1.1057,1.37408,0.00505,0.00505,0.00505
52,54644.6,1.29465,1.25402,1.2701,0.9209,0.73864,0.82653,0.506,1.28939,1.09866,1.37658,0.004951,0.004951,0.004951
53,56733.2,1.30259,1.2617,1.27312,0.92348,0.73864,0.8274,0.50631,1.28824,1.09221,1.37664,0.004852,0.004852,0.004852
54,58792,1.2949,1.23633,1.27934,0.92242,0.74081,0.82779,0.50721,1.28894,1.08762,1.37738,0.004753,0.004753,0.004753
55,60881.4,1.30127,1.21704,1.2798,0.9211,0.74477,0.82996,0.50858,1.28908,1.08171,1.37739,0.004654,0.004654,0.004654
56,62934.9,1.27487,1.22146,1.25331,0.92024,0.74441,0.82988,0.50802,1.29213,1.07721,1.37868,0.004555,0.004555,0.004555
57,65022.2,1.28281,1.19728,1.26277,0.92211,0.74585,0.83096,0.50672,1.29464,1.07386,1.3801,0.004456,0.004456,0.004456
58,67217.2,1.26332,1.18787,1.25468,0.92352,0.74874,0.83251,0.50862,1.29812,1.06957,1.38227,0.004357,0.004357,0.004357
59,69275.8,1.28073,1.22803,1.26166,0.92753,0.74946,0.83293,0.51002,1.29974,1.06623,1.38227,0.004258,0.004258,0.004258
60,71368.5,1.27292,1.21372,1.26511,0.9238,0.75054,0.83347,0.50919,1.30448,1.05917,1.38454,0.004159,0.004159,0.004159
61,73474.2,1.26455,1.18792,1.24698,0.92352,0.75342,0.83486,0.50822,1.31043,1.05388,1.38726,0.00406,0.00406,0.00406
62,75546.3,1.27394,1.17542,1.2584,0.92075,0.75631,0.83584,0.5085,1.31612,1.05015,1.3891,0.003961,0.003961,0.003961
63,77627.3,1.27346,1.17148,1.26368,0.92024,0.75739,0.83688,0.50798,1.32147,1.04757,1.39156,0.003862,0.003862,0.003862
64,79797,1.27158,1.14454,1.25796,0.92015,0.75604,0.8359,0.5068,1.32356,1.04505,1.39247,0.003763,0.003763,0.003763
65,81896.6,1.24267,1.1089,1.24031,0.91946,0.75739,0.8373,0.506,1.32669,1.04161,1.39398,0.003664,0.003664,0.003664
66,83996.8,1.24657,1.11819,1.24576,0.91645,0.75919,0.83815,0.50623,1.3265,1.03666,1.39348,0.003565,0.003565,0.003565
67,2124.62,1.2475,1.11557,1.24135,0.91838,0.75919,0.83941,0.50677,1.32968,1.02792,1.3954,0.003466,0.003466,0.003466
68,4217.57,1.23893,1.10167,1.23671,0.91984,0.76136,0.83905,0.50804,1.32678,1.02267,1.39401,0.003367,0.003367,0.003367
69,6365.99,1.24557,1.10957,1.24206,0.92178,0.76041,0.83933,0.50818,1.32872,1.01893,1.39504,0.003268,0.003268,0.003268
70,8397.22,1.23263,1.08571,1.23417,0.92355,0.75883,0.83865,0.50846,1.33101,1.01509,1.39717,0.003169,0.003169,0.003169
71,10498,1.2309,1.08966,1.23095,0.92315,0.75739,0.83953,0.50935,1.33181,1.00992,1.39791,0.00307,0.00307,0.00307
72,12552.1,1.21967,1.0548,1.22733,0.92462,0.7606,0.8399,0.50855,1.33581,1.00521,1.39982,0.002971,0.002971,0.002971
73,14655.5,1.22846,1.07311,1.23239,0.91882,0.76295,0.84018,0.50902,1.33841,1.00241,1.4017,0.002872,0.002872,0.002872
74,16685.5,1.2174,1.04215,1.22847,0.91195,0.76914,0.84105,0.5086,1.33948,0.99908,1.40235,0.002773,0.002773,0.002773
75,18780.8,1.20712,1.05567,1.22212,0.90772,0.77302,0.84105,0.50923,1.34011,1.00002,1.40262,0.002674,0.002674,0.002674
76,20888.8,1.207,1.02632,1.21677,0.90813,0.77289,0.84139,0.51069,1.33765,1.00096,1.40042,0.002575,0.002575,0.002575
77,23037.3,1.20537,1.06422,1.22157,0.91552,0.76957,0.84227,0.5122,1.33488,0.99929,1.4,0.002476,0.002476,0.002476
78,25167.8,1.18442,1.00634,1.20547,0.92355,0.76207,0.84163,0.51191,1.33554,1.00079,1.40078,0.002377,0.002377,0.002377
79,27294,1.18524,1.00144,1.20455,0.92464,0.7628,0.84165,0.51125,1.33541,1.00007,1.40162,0.002278,0.002278,0.002278
80,29382.4,1.19457,1.00544,1.2184,0.92978,0.75895,0.84201,0.512,1.33472,1.00091,1.40184,0.002179,0.002179,0.002179
81,31469.2,1.1808,0.9962,1.21022,0.92707,0.76066,0.84218,0.51153,1.33867,0.99771,1.40535,0.00208,0.00208,0.00208
82,33519.4,1.17888,0.976,1.20645,0.92739,0.75967,0.84229,0.51123,1.34107,0.99765,1.40747,0.001981,0.001981,0.001981
83,35609.5,1.1788,0.96797,1.21212,0.92134,0.76893,0.84247,0.51126,1.34069,0.99871,1.40643,0.001882,0.001882,0.001882
84,37673.5,1.15727,0.94577,1.19633,0.92025,0.76955,0.8428,0.51233,1.33938,1.00055,1.40578,0.001783,0.001783,0.001783
85,39808.7,1.15615,0.94804,1.19441,0.92095,0.76855,0.84304,0.51293,1.33835,0.99864,1.40583,0.001684,0.001684,0.001684
86,41884,1.14316,0.92311,1.18688,0.92136,0.76869,0.84319,0.51271,1.3415,0.99858,1.40818,0.001585,0.001585,0.001585
87,43956.2,1.1508,0.93092,1.1897,0.92278,0.76965,0.8427,0.51175,1.34336,0.99744,1.41057,0.001486,0.001486,0.001486
88,46124,1.14569,0.91326,1.18718,0.92152,0.77145,0.84292,0.51191,1.34392,0.99737,1.41134,0.001387,0.001387,0.001387
89,48172.2,1.14531,0.9161,1.19183,0.91958,0.77073,0.84269,0.51154,1.34306,0.99681,1.41183,0.001288,0.001288,0.001288
90,2061.68,1.1232,0.87333,1.17602,0.92136,0.77289,0.84342,0.5114,1.34847,0.99222,1.41573,0.001189,0.001189,0.001189
91,4139.11,1.02459,0.80539,1.12565,0.92027,0.77289,0.84411,0.51152,1.35023,0.99278,1.41735,0.00109,0.00109,0.00109
92,6209.33,1.00348,0.80232,1.10422,0.9193,0.77361,0.84398,0.51186,1.34818,0.99314,1.41593,0.000991,0.000991,0.000991
93,8273.84,1.00223,0.79146,1.1097,0.91803,0.7711,0.84396,0.5113,1.34757,0.9922,1.41589,0.000892,0.000892,0.000892
94,10306.4,0.99019,0.77582,1.09929,0.91448,0.77289,0.84377,0.51182,1.34534,0.99083,1.41454,0.000793,0.000793,0.000793
95,12329.1,0.98981,0.78138,1.10087,0.91242,0.77253,0.84307,0.51193,1.34513,0.99064,1.41357,0.000694,0.000694,0.000694
96,14385.6,0.98219,0.77525,1.09307,0.91478,0.77396,0.84303,0.51268,1.34208,0.99198,1.41155,0.000595,0.000595,0.000595
97,16625.5,0.98161,0.77166,1.09441,0.91758,0.77253,0.84258,0.51217,1.33968,0.99324,1.40856,0.000496,0.000496,0.000496
98,18715.9,0.96201,0.76504,1.08654,0.91881,0.77145,0.84256,0.51279,1.33927,0.99211,1.40939,0.000397,0.000397,0.000397
99,20846.3,0.9598,0.73965,1.08036,0.92203,0.77156,0.84321,0.51247,1.33861,0.99104,1.40946,0.000298,0.000298,0.000298
100,22914.8,0.9611,0.73457,1.08479,0.9248,0.77037,0.8434,0.51172,1.33837,0.9913,1.40998,0.000199,0.000199,0.000199
